,username,end_time,white_username,black_username,Result,StartTime
166,AGcuber19,15:15:46,AGcuber19,babypluto362,1-0,15:13:18
167,AGcuber19,15:18:11,AGcuber19,abhansen73,0-1,15:15:55
168,AGcuber19,15:21:09,AGcuber19,lukevanderlinde1224,1-0,15:19:27
169,AGcuber19,15:23:35,Camry555,AGcuber19,1-0,15:21:17
170,AGcuber19,15:27:51,NYKHJD,AGcuber19,1-0,15:23:41
171,AGcuber19,15:44:37,chessmaster69420god,AGcuber19,1-0,15:44:06
172,AGcuber19,15:49:14,AGcuber19,AMEP09,0-1,15:44:39
173,AGcuber19,16:02:04,Geeza80s,AGcuber19,1-0,15:49:14
174,AGcuber19,16:14:15,AGcuber19,Micheal56868,0-1,16:13:21
175,AGcuber19,16:15:49,AGcuber19,Jamescrawford13,1-0,16:14:22
176,AGcuber19,16:24:01,AlejandroStu,AGcuber19,0-1,16:16:02
0,AGcuber19,17:16:47,ElliterateOG,AGcuber19,1-0,17:15:06
1,AGcuber19,17:25:56,AGcuber19,tkvldrtkvldr,0-1,17:16:54
2,AGcuber19,17:28:47,AGcuber19,Smokingbiggy,0-1,17:26:06
3,AGcuber19,17:30:15,AGcuber19,Big_H97,1-0,17:28:59
4,AGcuber19,17:36:11,jacobzorn,AGcuber19,0-1,17:30:35
5,AGcuber19,00:38:36,jweintrau,AGcuber19,1-0,00:32:30
6,AGcuber19,00:40:15,AGcuber19,PaulMoadib12,1-0,00:38:44
7,AGcuber19,00:51:27,Daanoontje010,AGcuber19,0-1,00:40:17
